股票代號,公司名稱,最新一季每股淨值(元),產業類別
6895,宏碩系統,28.04,半導體業
6899,創為精密,42.31,光電業
6903,巨漢,44.82,其他電子業
6904,伯鑫,53.49,其他
6922,宸曜,34.29,電腦及週邊設備業
6929,佑全,26.04,生技醫療業
6953,家碩,47.82,半導體業
6968,萬達寵物,15.94,居家生活
7402,邑錡,19.06,光電業
7556,意德士科技,39.99,半導體業
7584,樂意,23.59,文化創意業
8024,佑華,12.54,半導體業
8027,鈦昇,25.80,電機機械
8032,光菱,35.98,電子通路業
8034,榮群,11.05,通信網路業
8038,長園科,7.05,電子零組件業
8040,九暘,26.38,半導體業
8042,金山電,30.17,電子零組件業
8043,蜜望實,33.31,電子零組件業
8044,網家,44.18,數位雲端
8047,星雲,10.30,其他電子業
8048,德勝,19.81,通信網路業
8049,晶采,17.12,光電業
8050,廣積,37.62,電腦及週邊設備業
8054,安國,27.01,半導體業
8059,凱碩,9.74,通信網路業
8064,東捷,18.03,光電業
8066,來思達,19.32,居家生活
8067,志旭,8.63,電子通路業
8068,全達,12.21,電子通路業
8069,元太,44.79,光電業
8071,能率網通,12.99,電子零組件業
8074,鉅橡,18.29,電子零組件業
8076,伍豐,17.00,電腦及週邊設備業
8077,洛碁,16.43,觀光餐旅
8080,印鉐,7.28,建材營造
8083,瑞穎,31.43,電機機械
8084,巨虹,7.26,電子通路業
8085,福華,14.11,其他電子業
8086,宏捷科,39.23,半導體業
8087,麗升能源,20.73,綠能環保
8088,品安,16.38,半導體業
8089,康全電訊,18.35,通信網路業
8091,翔名,63.35,半導體業
8092,建暐,9.89,其他電子業
8093,保銳,6.66,電子零組件業
8096,擎亞,15.62,電子通路業
8097,常珵,23.28,通信網路業
8099,大世科,15.76,資訊服務業
8107,大億金茂,20.08,電機機械
8109,博大,34.33,電子零組件業
8111,立碁,12.37,光電業
8121,越峰,9.25,電子零組件業
8147,正淩,29.43,電子零組件業
8155,博智,40.95,電子零組件業
8171,天宇,20.92,綠能環保
8176,智捷,7.21,通信網路業
8182,加高,33.71,電子零組件業
8183,精星,27.23,其他電子業
8227,巨有科技,19.94,半導體業
8234,新漢,21.75,電腦及週邊設備業
8240,華宏,46.34,光電業
8255,朋程,82.31,電機機械
8277,商丞,5.70,半導體業
8279,生展,77.84,生技醫療業
8284,三竹,25.88,資訊服務業
8289,泰藝,23.29,電子零組件業
8291,尚茂,2.15,電子零組件業
8299,群聯,239.74,半導體業
8342,益張,27.18,其他
8349,恒耀國際,36.61,鋼鐵工業
8354,冠好,26.83,其他
8358,金居,24.18,電子零組件業
8383,千附,30.56,其他電子業
8390,金益鼎,31.82,綠能環保
8401,白紗科,17.08,其他
8403,盛弘,27.96,生技醫療業
8409,商之器,8.02,生技醫療業
8410,森田,47.36,電腦及週邊設備業
8415,大國鋼,24.06,鋼鐵工業
8416,實威,47.48,資訊服務業
8420,明揚,16.49,運動休閒
8421,旭源,14.66,其他
8424,惠普,28.77,建材營造
8431,匯鑽科,20.82,其他電子業
8432,東生華,34.03,生技醫療業
8433,弘帆,43.17,居家生活
8435,鉅邁,23.44,其他
8436,大江,68.99,生技醫療業
8440,綠電,16.44,綠能環保
8446,華研,34.39,文化創意業
8450,霹靂,15.54,文化創意業
8472,夠麻吉,18.04,數位雲端
8477,創業家,4.11,數位雲端
8489,三貝德,10.47,其他
8905,裕國,23.51,其他
8906,花王,11.11,其他
8908,欣雄,13.83,油電燃氣業
8916,光隆,36.94,其他
8917,欣泰,15.80,油電燃氣業
